id,categoria,arquivo_original,arquivo_padronizado,caminho_relativo,tipo_visual,descricao,foco_extracao,formato,largura_px,altura_px,proporcao,orientacao,tamanho_kb,sha256,status
DSREF-FND-002,01_FOUNDATIONS,Icones .JPG,DSREF-FND-002__interface-icon-grid.jpg,01_FOUNDATIONS/DSREF-FND-002__interface-icon-grid.jpg,foundation / iconography,"Grade de ícones monocromáticos de interface para ações, navegação e estados.",iconografia; stroke; escala; densidade; consistência geométrica,JPG,1200,1200,1:1,quadrado,65.9,08a8396169016c3347b4b6c3a3035886c9dc115a3dfd87a17281c140feee0cab,READY
DSREF-FND-003,01_FOUNDATIONS,Componetes e botoes.JPG,DSREF-FND-003__action-icon-set-dark.jpg,01_FOUNDATIONS/DSREF-FND-003__action-icon-set-dark.jpg,foundation / iconography,Conjunto de ícones de ação escuros com formas arredondadas e linguagem visual consistente.,ícones; ações; formas; estados; contraste,JPG,1200,750,8:5,paisagem,34.6,77934976dc7263b91c57323603e4a1a32740e19c66edca46e5cdc365498d3c3f,READY
DSREF-LAY-001,04_LAYOUTS_WIREFRAMES,"Widge,layout,blog,web.JPG",DSREF-LAY-001__modular-widget-card-layout.jpg,04_LAYOUTS_WIREFRAMES/DSREF-LAY-001__modular-widget-card-layout.jpg,layout / component library,"Composição modular de cards e widgets em grade com conteúdo editorial, perfil e controles.",grid; modular layout; widget sizing; gutters; responsive composition,JPG,736,552,4:3,paisagem,67.9,7d54bb73434e0b9bf3bbfae6f6fddd0889ca4df211acc380b69ef68cde4e28fc,READY
DSREF-LAY-002,04_LAYOUTS_WIREFRAMES,Wireframe website..JPG,DSREF-LAY-002__editorial-landing-page-wireframe.jpg,04_LAYOUTS_WIREFRAMES/DSREF-LAY-002__editorial-landing-page-wireframe.jpg,layout / wireframe,"Wireframe editorial vertical com hero, navegação, mapa, blocos informativos, métricas e CTA.",wireframe; information architecture; grid; hierarchy; page rhythm,JPG,1200,1600,3:4,retrato,232.8,e251224bbffacba43073fba05b971aa3c3ac30629faff2c6831f45733662f1e1,READY
DSREF-STA-001,05_STATES_FEEDBACK,IMG_0883.JPG,DSREF-STA-001__saved-actions-empty-state.jpg,05_STATES_FEEDBACK/DSREF-STA-001__saved-actions-empty-state.jpg,state / empty,"Estado vazio de Saved Actions com ilustração central, mensagem e CTA secundário.",empty state; CTA; icon; spacing; neutral surfaces,JPG,1200,1200,1:1,quadrado,55.5,7fc32ec7f488ba23f898f9e7eb7bda16cacc307b31dd3255fa7f7f56b04da233,READY
DSREF-STA-002,05_STATES_FEEDBACK,IMG_0884.JPG,DSREF-STA-002__meetings-empty-state.jpg,05_STATES_FEEDBACK/DSREF-STA-002__meetings-empty-state.jpg,state / empty,"Estado vazio para reuniões/eventos com tabs, ilustração e ação Request.",empty state; tabs; CTA; illustration; hierarchy,JPG,1200,1200,1:1,quadrado,59.8,5c914c101716fb23d550600cdf1c1fadbf9fa9f49367443045b28046cd97d168,READY
DSREF-STA-003,05_STATES_FEEDBACK,IMG_0885.JPG,DSREF-STA-003__cleanup-complete-success-state.jpg,05_STATES_FEEDBACK/DSREF-STA-003__cleanup-complete-success-state.jpg,state / success,"Estado de sucesso Cleanup Complete com ilustração, mensagem e CTA primário.",success state; CTA; accent; illustration; hierarchy,JPG,1199,959,1199:959,paisagem,51.2,30b8afeed0a545db580d0a854522b5d69d6eb1720d9eb27352e3fb005b0bae84,READY
DSREF-STA-004,05_STATES_FEEDBACK,"angulos,imagens e graficas..JPG",DSREF-STA-004__no-data-empty-state.jpg,05_STATES_FEEDBACK/DSREF-STA-004__no-data-empty-state.jpg,state / empty,Estado vazio No data yet com ilustração isométrica e botão Add Data.,empty state; isometric illustration; CTA; whitespace,JPG,1199,1230,1199:1230,retrato,60.1,448a332c46174d43fa44b0132bad7eec83fd0d80588420d3af9ec2c05d1c5e61,READY
DSREF-VIS-001,06_VISUAL_LANGUAGE,"Visuais,imagens,aut0,enginner,.JPG",DSREF-VIS-001__automation-process-diagrams.jpg,06_VISUAL_LANGUAGE/DSREF-VIS-001__automation-process-diagrams.jpg,visual / technical illustration,Referência de diagramas técnicos de automação em perspectiva isométrica e traço leve.,isometric diagram; line art; technical storytelling; labels; perspective,JPG,1200,1200,1:1,quadrado,158.2,7f9fd55752922fb427d68e43974df45bb17c88b7f54b938860caa05e33af15fb,READY
DSREF-VIS-002,06_VISUAL_LANGUAGE,"Visual,imagens graficas.JPG",DSREF-VIS-002__isometric-system-modules.jpg,06_VISUAL_LANGUAGE/DSREF-VIS-002__isometric-system-modules.jpg,visual / system diagram,Módulos 3D/isométricos conectados em composição de arquitetura/sistema.,isometric modules; architecture diagram; connectors; depth; spacing,JPG,996,766,498:383,paisagem,66.2,73f66b58a8cdedcad8d33a24361c074a8344f483a379993fa520b4e48ec2e862,READY
DSREF-VIS-003,06_VISUAL_LANGUAGE,"Visual,imagens,infografic..JPG",DSREF-VIS-003__automation-infographic-reference.jpg,06_VISUAL_LANGUAGE/DSREF-VIS-003__automation-infographic-reference.jpg,visual / infographic,"Referência de infográfico técnico com automação, interfaces e ilustrações em perspectiva.",infographic; isometric illustration; process narrative; labels; whitespace,JPG,1200,1200,1:1,quadrado,158.6,1116bcbb8c533dc4202eef3f65ba5fb8791961e54cf27e780d1992740712cb76,READY
